year,stateobs,state,births,lnbirths,population,lnpopulation,workforce,infrastructure,economy,qualityoflife,costofdoingbusiness,technology,businessfriendliness,education,accesstocapital,costofliving,overallrank,workforce_l1,infrastructure_l1,economy_l1,qualityoflife_l1,costofdoingbusiness_l1,technology_l1,businessfriendliness_l1,education_l1,accesstocapital_l1,costofliving_l1,overallrank_l1,population_l1,lag_lnpopulation
2014,38,Pennsylvania,27464,10.22063159942627,12.788313,2.5485317707061768,48,NA,37,35,42,8,39,6,17,35,44,44,NA,29,33,44,5,41,6,5,33,39,12.7763090133667,2.5475926399230957
2015,38,Pennsylvania,28795,10.267956733703613,12.784826,2.5482590198516846,40,NA,46,36,33,11,35,16,11,34,40,48,NA,37,35,42,8,39,6,17,35,44,12.788312911987305,2.5485317707061768
2016,38,Pennsylvania,27915,10.236919403076172,12.782275,2.5480594635009766,33,35,42,29,34,12,35,21,12,35,33,40,NA,46,36,33,11,35,16,11,34,40,12.784826278686523,2.5482590198516846
2017,38,Pennsylvania,28053,10.241850852966309,12.787641,2.5484790802001953,21,38,34,30,34,10,28,10,5,34,23,33,35,42,29,34,12,35,21,12,35,33,12.782275199890137,2.5480594635009766
2018,38,Pennsylvania,28205,10.247254371643066,12.800922,2.5495171546936035,13,37,41,34,25,13,31,7,6,32,22,21,38,34,30,34,10,28,10,5,34,23,12.787640571594238,2.5484790802001953
2019,38,Pennsylvania,29247,10.28353214263916,12.801989,2.549600601196289,31,24,39,32,30,13,29,9,6,28,28,13,37,41,34,25,13,31,7,6,32,22,12.800922393798828,2.5495171546936035
2021,38,Pennsylvania,42236,10.651028633117676,13.013614,2.565995931625366,22,NA,41,33,28,14,39,5,12,33,23,31,24,39,32,30,13,29,9,6,28,28,NA,NA
2022,38,Pennsylvania,39145,10.575028419494629,12.972091,2.562800168991089,28,12,45,22,22,7,26,5,9,32,17,22,NA,41,33,28,14,39,5,12,33,23,13.0136137008667,2.565995931625366
2007,39,Rhode Island,3386,8.12740421295166,1.057315,0.05573267489671707,28,48,43,31,46,30,46,22,25,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,39,Rhode Island,3164,8.059592247009277,1.055003,0.053543612360954285,18,48,49,29,46,30,47,17,39,43,48,28,48,43,31,46,30,46,22,25,45,48,1.0573149919509888,0.05573267489671707
2009,39,Rhode Island,2897,7.971430778503418,1.053646,0.05225653201341629,25,48,50,24,46,28,47,26,36,40,48,18,48,49,29,46,30,47,17,39,43,48,1.055003046989441,0.053543612360954285
2010,39,Rhode Island,3219,8.076826095581055,1.053959,0.05255354940891266,25,48,49,33,45,28,48,14,23,41,49,25,48,50,24,46,28,47,26,36,40,48,1.0536459684371948,0.05225653201341629
2011,39,Rhode Island,3311,8.105005264282227,1.053649,0.052259378135204315,26,49,42,24,46,27,48,24,35,43,50,25,48,49,33,45,28,48,14,23,41,49,1.0539590120315552,0.05255354940891266
2012,39,Rhode Island,3411,8.134760856628418,1.054621,0.05318146198987961,46,50,49,23,45,37,49,23,10,44,50,26,49,42,24,46,27,48,24,35,43,50,1.0536489486694336,0.052259378135204315
2013,39,Rhode Island,3198,8.070281028747559,1.055081,0.05361754074692726,42,NA,49,20,34,42,46,23,21,44,49,46,50,49,23,45,37,49,23,10,44,50,1.0546209812164307,0.05318146198987961
2014,39,Rhode Island,3388,8.127995491027832,1.055936,0.054427579045295715,38,NA,44,19,43,34,45,18,23,42,50,42,NA,49,20,34,42,46,23,21,44,49,1.0550810098648071,0.05361754074692726
2015,39,Rhode Island,3698,8.215547561645508,1.056065,0.05454973503947258,24,NA,39,12,44,33,45,13,43,42,48,38,NA,44,19,43,34,45,18,23,42,50,1.0559359788894653,0.054427579045295715
2016,39,Rhode Island,3445,8.144679069519043,1.05677,0.055217087268829346,23,50,45,24,45,35,39,20,45,43,50,24,NA,39,12,44,33,45,13,43,42,48,1.0560649633407593,0.05454973503947258
2017,39,Rhode Island,3679,8.210395812988281,1.055673,0.05417848005890846,27,50,29,31,43,34,37,20,44,42,45,23,50,45,24,45,35,39,20,45,43,50,1.0567699670791626,0.055217087268829346
2018,39,Rhode Island,3855,8.2571258544921875,1.058287,0.056651562452316284,15,50,28,27,44,33,38,25,43,42,45,27,50,29,31,43,34,37,20,44,42,45,1.0556730031967163,0.05417848005890846
2019,39,Rhode Island,4025,8.300280570983887,1.059361,0.05766589567065239,32,50,48,28,44,27,40,25,39,41,50,15,50,28,27,44,33,38,25,43,42,45,1.0582870244979858,0.056651562452316284
2021,39,Rhode Island,6649,8.802221298217773,1.097092,0.09266304224729538,23,NA,36,13,46,28,30,28,41,42,46,32,50,48,28,44,27,40,25,39,41,50,NA,NA
2022,39,Rhode Island,6928,8.843326568603516,1.093842,0.08969626575708389,39,44,41,16,47,33,36,29,29,42,45,23,NA,36,13,46,28,30,28,41,42,46,1.0970920324325562,0.09266304224729538
2007,40,South Carolina,11871,9.381854057312012,4.44411,1.4915796518325806,3,17,38,50,10,31,27,35,33,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,40,South Carolina,10755,9.283125877380371,4.528996,1.5105003118515015,2,4,39,49,9,31,28,37,25,15,29,3,17,38,50,10,31,27,35,33,19,29,4.444109916687012,1.4915796518325806
2009,40,South Carolina,9032,9.108529090881348,4.589872,1.5238521099090576,6,41,47,48,5,29,35,39,36,19,37,2,4,39,49,9,31,28,37,25,15,29,4.528995990753174,1.5105003118515015
2010,40,South Carolina,9184,9.125218391418457,4.635649,1.5337761640548706,5,8,46,45,6,26,30,43,34,24,31,6,41,47,48,5,29,35,39,36,19,37,4.589871883392334,1.5238521099090576
2011,40,South Carolina,10090,9.219300270080566,4.671994,1.541585922241211,6,19,49,42,14,26,29,46,35,28,37,5,8,46,45,6,26,30,43,34,24,31,4.63564920425415,1.5337761640548706
2012,40,South Carolina,9985,9.208839416503906,4.717354,1.5512480735778809,15,21,25,41,22,26,35,46,30,24,32,6,19,49,42,14,26,29,46,35,28,37,4.671994209289551,1.541585922241211
2013,40,South Carolina,10297,9.239607810974121,4.76408,1.561104416847229,9,NA,35,41,8,26,34,36,19,19,23,15,21,25,41,22,26,35,46,30,24,32,4.717353820800781,1.5512480735778809
2014,40,South Carolina,10877,9.294405937194824,4.823617,1.5735241174697876,25,NA,13,40,9,30,34,43,41,10,24,9,NA,35,41,8,26,34,36,19,19,23,4.764080047607422,1.561104416847229
2015,40,South Carolina,11416,9.342771530151367,4.891938,1.5875885486602783,22,NA,18,38,22,35,34,39,31,21,29,25,NA,13,40,9,30,34,43,41,10,24,4.823616981506348,1.5735241174697876
2016,40,South Carolina,11535,9.353140830993652,4.957968,1.6009960174560547,20,21,24,31,19,32,27,42,29,19,27,22,NA,18,38,22,35,34,39,31,21,29,4.891938209533691,1.5875885486602783
2017,40,South Carolina,12071,9.398561477661133,5.021268,1.613682508468628,23,30,15,36,16,35,29,40,28,29,29,20,21,24,31,19,32,27,42,29,19,27,4.957968235015869,1.6009960174560547
2018,40,South Carolina,15491,9.648014068603516,5.084156,1.6261290311813354,21,35,17,42,17,31,28,26,28,27,30,23,30,15,36,16,35,29,40,28,29,29,5.021267890930176,1.613682508468628
2019,40,South Carolina,14614,9.58973503112793,5.148714,1.638746976852417,28,30,22,41,24,32,35,29,26,26,34,21,35,17,42,17,31,28,26,28,27,30,5.084156036376953,1.6261290311813354
2021,40,South Carolina,19509,9.878631591796875,5.193848,1.6474748849868774,16,NA,21,39,31,36,27,36,30,22,39,28,30,22,41,24,32,35,29,26,26,34,NA,NA
2022,40,South Carolina,26270,10.176182746887207,5.282955,1.6644855737686157,29,27,13,47,28,31,23,29,41,18,36,16,NA,21,39,31,36,27,36,30,22,39,5.193848133087158,1.6474748849868774
2007,41,South Dakota,2256,7.721348762512207,0.791623,-0.23367001116275787,24,47,24,18,3,50,6,18,48,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,41,South Dakota,2264,7.724888324737549,0.799124,-0.22423915565013885,19,25,14,21,1,50,4,24,44,2,7,24,47,24,18,3,50,6,18,48,1,18,0.7916229963302612,-0.23367001116275787
2009,41,South Dakota,2141,7.669028282165527,0.807067,-0.21434858441352844,17,21,29,12,2,48,3,27,36,7,12,19,25,14,21,1,50,4,24,44,2,7,0.799124002456665,-0.22423915565013885
2010,41,South Dakota,2231,7.710205078125,0.816166,-0.20313751697540283,15,27,4,11,4,49,3,21,40,5,7,17,21,29,12,2,48,3,27,36,7,12,0.8070669770240784,-0.21434858441352844
2011,41,South Dakota,2370,7.7706451416015625,0.823579,-0.19409580528736115,15,42,11,5,7,49,3,20,35,26,13,15,27,4,11,4,49,3,21,40,5,7,0.8161659836769104,-0.20313751697540283
2012,41,South Dakota,2327,7.752335071563721,0.833566,-0.18204239010810852,14,27,12,7,3,46,1,22,48,30,7,15,42,11,5,7,49,3,20,35,26,13,0.8235790133476257,-0.19409580528736115
2013,41,South Dakota,2414,7.789040565490723,0.842316,-0.17160004377365112,11,NA,6,7,1,48,2,30,39,26,1,14,27,12,7,3,46,1,22,48,30,7,0.8335660099983215,-0.18204239010810852
2014,41,South Dakota,2541,7.840312957763672,0.849129,-0.163544163107872,6,NA,20,10,6,50,2,30,26,16,11,11,NA,6,7,1,48,2,30,39,26,1,0.8423159718513489,-0.17160004377365112
2015,41,South Dakota,2605,7.865188121795654,0.853988,-0.1578381359577179,35,NA,8,17,5,44,2,23,27,35,11,6,NA,20,10,6,50,2,30,26,16,11,0.8491290211677551,-0.163544163107872
2016,41,South Dakota,2581,7.855932235717773,0.862996,-0.14734522998332977,32,28,33,14,4,44,2,21,32,20,19,35,NA,8,17,5,44,2,23,27,35,11,0.853987991809845,-0.1578381359577179
2017,41,South Dakota,2692,7.898039817810059,0.872868,-0.13597093522548676,39,37,22,14,14,41,2,25,34,34,24,32,28,33,14,4,44,2,21,32,20,19,0.862995982170105,-0.14734522998332977
2018,41,South Dakota,2799,7.937017440795898,0.878698,-0.12931400537490845,30,38,27,16,9,41,2,16,45,27,20,39,37,22,14,14,41,2,25,34,34,24,0.872868001461029,-0.13597093522548676
2019,41,South Dakota,2992,8.003697395324707,0.884659,-0.1225530207157135,47,37,8,21,2,47,2,27,45,27,21,30,38,27,16,9,41,2,16,45,27,20,0.8786979913711548,-0.12931400537490845
2021,41,South Dakota,4642,8.442900657653809,0.896299,-0.10948121547698975,47,NA,17,15,12,46,1,18,34,28,29,47,37,8,21,2,47,2,27,45,27,21,NA,NA
2022,41,South Dakota,4900,8.496990203857422,0.909869,-0.09445464611053467,43,36,12,27,11,36,8,39,10,29,22,47,NA,17,15,12,46,1,18,34,28,29,0.8962990045547485,-0.10948121547698975
2007,42,Tennessee,14253,9.564723014831543,6.175727,1.8206266164779663,12,4,31,45,12,25,2,39,23,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,42,Tennessee,12949,9.46877384185791,6.247411,1.832167148590088,5,7,37,43,13,25,9,42,29,1,21,12,4,31,45,12,25,2,39,23,5,17,6.175726890563965,1.8206266164779663
2009,42,Tennessee,11333,9.335474014282227,6.306019,1.8415045738220215,4,6,39,49,19,25,10,44,20,3,20,5,7,37,43,13,25,9,42,29,1,21,6.247410774230957,1.832167148590088
2010,42,Tennessee,11976,9.390660285949707,6.355311,1.8492908477783203,5,4,36,49,10,23,6,41,35,1,16,4,6,39,49,19,25,10,44,20,3,20,6.306018829345703,1.8415045738220215
2011,42,Tennessee,12087,9.399886131286621,6.399291,1.8561872243881226,9,5,46,47,19,24,8,43,26,2,18,5,4,36,49,10,23,6,41,35,1,16,6.355310916900635,1.8492908477783203
2012,42,Tennessee,12780,9.455636978149414,6.453898,1.8646843433380127,11,4,12,48,27,25,6,41,29,2,16,9,5,46,47,19,24,8,43,26,2,18,6.399291038513184,1.8561872243881226
2013,42,Tennessee,12826,9.459229469299316,6.49434,1.8709310293197632,5,NA,9,49,14,25,18,45,27,2,13,11,4,12,48,27,25,6,41,29,2,16,6.453897953033447,1.8646843433380127
2014,42,Tennessee,12936,9.467769622802734,6.541223,1.8781241178512573,6,NA,14,50,13,28,18,39,33,9,14,5,NA,9,49,14,25,18,45,27,2,13,6.494339942932129,1.8709310293197632
2015,42,Tennessee,13919,9.541009902954102,6.59117,1.8857308626174927,8,NA,31,50,12,27,8,42,18,2,17,6,NA,14,50,13,28,18,39,33,9,14,6.541223049163818,1.8781241178512573
2016,42,Tennessee,14271,9.565984725952148,6.64601,1.8940166234970093,22,2,21,46,10,24,6,40,17,5,18,8,NA,31,50,12,27,8,42,18,2,17,6.591169834136963,1.8857308626174927
2017,42,Tennessee,14620,9.5901460647583,6.708799,1.9034199714660645,19,2,5,42,6,30,4,37,23,7,9,22,2,21,46,10,24,6,40,17,5,18,6.646009922027588,1.8940166234970093
2018,42,Tennessee,15731,9.6633882522583,6.771631,1.912742018699646,27,5,7,47,15,30,8,33,23,5,13,19,2,5,42,6,30,4,37,23,7,9,6.708798885345459,1.9034199714660645
2019,42,Tennessee,16349,9.701922416687012,6.829174,1.9212037324905396,32,5,5,48,17,23,7,28,23,6,13,27,5,7,47,15,30,8,33,23,5,13,6.771630764007568,1.912742018699646
2021,42,Tennessee,26417,10.1817626953125,6.963709,1.9407122135162354,25,NA,2,46,8,32,20,23,14,8,5,32,5,5,48,17,23,7,28,23,6,13,NA,NA
2022,42,Tennessee,27915,10.236919403076172,7.048976,1.9528824090957642,15,8,2,42,8,28,23,11,22,5,6,25,NA,2,46,8,32,20,23,14,8,5,6.963708877563477,1.9407122135162354
2007,43,Texas,57086,10.952314376831055,23.831983,3.1710286140441895,7,5,1,26,27,5,24,31,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,43,Texas,56681,10.945194244384766,24.309039,3.1908483505249023,12,1,1,22,27,4,20,30,3,3,1,7,5,1,26,27,5,24,31,3,4,2,23.83198356628418,3.1710286140441895
2009,43,Texas,51075,10.841050148010254,24.801761,3.2109146118164062,14,1,1,32,33,3,20,30,4,7,2,12,1,1,22,27,4,20,30,3,3,1,24.309040069580078,3.1908483505249023
2010,43,Texas,54127,10.899088859558105,25.241971,3.228508234024048,16,1,1,29,30,4,19,30,7,8,1,14,1,1,32,33,3,20,30,4,7,2,24.801759719848633,3.2109146118164062
2011,43,Texas,57104,10.952629089355469,25.645629,3.244373083114624,14,1,14,32,33,4,18,27,4,5,2,16,1,1,29,30,4,19,30,7,8,1,25.241971969604492,3.228508234024048
2012,43,Texas,58106,10.970024108886719,26.084481,3.261340618133545,7,1,5,35,28,2,12,26,8,3,1,14,1,14,32,33,4,18,27,4,5,2,25.645627975463867,3.244373083114624
2013,43,Texas,59476,10.993328094482422,26.480266,3.276399850845337,11,NA,1,41,35,2,20,10,3,9,2,7,1,5,35,28,2,12,26,8,3,1,26.08448028564453,3.261340618133545
2014,43,Texas,61024,11.019022941589355,26.964333,3.2945148944854736,11,NA,1,37,23,2,20,27,5,18,2,11,NA,1,41,35,2,20,10,3,9,2,26.480266571044922,3.276399850845337
2015,43,Texas,65872,11.095468521118164,27.470056,3.313096523284912,20,NA,2,33,21,11,14,28,6,15,2,11,NA,1,37,23,2,20,27,5,18,2,26.964332580566406,3.2945148944854736
2016,43,Texas,69083,11.14306354522705,27.91441,3.3291430473327637,8,2,1,37,23,10,18,40,7,21,2,20,NA,2,33,21,11,14,28,6,15,2,27.470056533813477,3.313096523284912
2017,43,Texas,72293,11.188482284545898,28.295273,3.3426947593688965,1,1,25,37,15,11,24,34,3,9,4,8,2,1,37,23,10,18,40,7,21,2,27.914409637451172,3.3291430473327637
2018,43,Texas,75860,11.236644744873047,28.628666,3.3544085025787354,7,1,1,31,18,9,21,37,3,11,1,1,1,25,37,15,11,24,34,3,9,4,28.295272827148438,3.3426947593688965
2019,43,Texas,76002,11.23851490020752,28.995881,3.3671538829803467,4,8,4,37,19,10,17,39,3,12,2,7,1,1,31,18,9,21,37,3,11,1,28.628665924072266,3.3544085025787354
2021,43,Texas,97694,11.489595413208008,29.561286,3.386465549468994,1,NA,5,49,10,12,32,33,3,13,4,4,8,4,37,19,10,17,39,3,12,2,NA,NA
2022,43,Texas,97103,11.483527183532715,30.029848,3.4021918773651123,2,14,8,49,12,4,34,21,3,14,5,1,NA,5,49,10,12,32,33,3,13,4,29.56128692626953,3.386465549468994
2007,44,Utah,11483,9.348623275756836,2.597746,0.9546441435813904,5,30,6,2,8,22,9,45,14,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,44,Utah,10272,9.237176895141602,2.663029,0.9794641733169556,10,32,3,6,10,21,6,46,19,24,3,5,30,6,2,8,22,9,45,14,24,3,2.597745895385742,0.9546441435813904
2009,44,Utah,8698,9.07084846496582,2.723421,1.0018887519836426,9,34,14,7,7,26,7,29,23,21,5,10,32,3,6,10,21,6,46,19,24,3,2.6630289554595947,0.9794641733169556
2010,44,Utah,8986,9.103423118591309,2.775332,1.0207704305648804,7,32,23,5,7,25,10,48,39,17,8,9,34,14,7,7,26,7,29,23,21,5,2.723421096801758,1.0018887519836426
2011,44,Utah,9452,9.15398120880127,2.814384,1.0347434282302856,8,33,16,14,12,25,4,46,23,17,8,7,32,23,5,7,25,10,48,39,17,8,2.775331974029541,1.0207704305648804
2012,44,Utah,9869,9.19715404510498,2.853375,1.0485024452209473,9,8,7,10,11,24,10,45,13,6,2,8,33,16,14,12,25,4,46,23,17,8,2.8143839836120605,1.0347434282302856
2013,44,Utah,9747,9.184715270996094,2.89764,1.063896656036377,19,NA,10,21,21,23,4,39,7,11,5,9,8,7,10,11,24,10,45,13,6,2,2.85337495803833,1.0485024452209473
2014,44,Utah,10436,9.253016471862793,2.936879,1.0773473978042603,12,NA,6,15,16,18,4,46,1,20,3,19,NA,10,21,21,23,4,39,7,11,5,2.8976399898529053,1.063896656036377
2015,44,Utah,11085,9.313347816467285,2.981835,1.092538833618164,29,NA,1,20,13,15,5,31,21,11,3,12,NA,6,15,16,18,4,46,1,20,3,2.9368789196014404,1.0773473978042603
2016,44,Utah,11328,9.33503246307373,3.041868,1.1124718189239502,12,13,3,13,19,16,10,23,24,22,1,29,NA,1,20,13,15,5,31,21,11,3,2.981834888458252,1.092538833618164
2017,44,Utah,12040,9.395989418029785,3.101042,1.1317381858825684,18,9,4,20,24,18,16,34,18,17,8,12,13,3,13,19,16,10,23,24,22,1,3.041867971420288,1.1124718189239502
2018,44,Utah,13989,9.546026229858398,3.15355,1.148528814315796,11,10,2,12,23,19,12,34,18,22,3,18,9,4,20,24,18,16,34,18,17,8,3.1010420322418213,1.1317381858825684
2019,44,Utah,13951,9.543306350708008,3.205958,1.165010929107666,18,17,3,9,18,21,13,20,19,25,4,11,10,2,12,23,19,12,34,18,22,3,3.153549909591675,1.148528814315796
2021,44,Utah,19323,9.869050979614258,3.339284,1.205756425857544,17,NA,3,27,22,19,10,26,17,26,3,18,17,3,9,18,21,13,20,19,25,4,NA,NA
2022,44,Utah,20367,9.921670913696289,3.381236,1.2182413339614868,8,32,6,29,17,26,10,41,12,25,8,17,NA,3,27,22,19,10,26,17,26,3,3.3392839431762695,1.205756425857544
2007,45,Vermont,1996,7.598900318145752,0.623481,-0.4724369943141937,29,46,33,11,38,34,35,4,46,41,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,45,Vermont,1773,7.480428218841553,0.624151,-0.4713629484176636,34,46,42,10,40,31,16,3,38,41,39,29,46,33,11,38,34,35,4,46,41,38,0.6234809756278992,-0.4724369943141937
2009,45,Vermont,1654,7.410952091217041,0.624817,-0.4702964723110199,32,46,17,2,35,39,26,4,36,43,30,34,46,42,10,40,31,16,3,38,41,39,0.6241509914398193,-0.4713629484176636
2010,45,Vermont,1768,7.477604389190674,0.625879,-0.46859821677207947,36,46,12,3,42,40,37,4,40,43,37,32,46,17,2,35,39,26,4,36,43,30,0.6248170137405396,-0.4702964723110199
2011,45,Vermont,1864,7.530479907989502,0.627049,-0.46673059463500977,37,49,21,3,42,40,34,4,32,42,44,36,46,12,3,42,40,37,4,40,43,37,0.6258789896965027,-0.46859821677207947
2012,45,Vermont,1814,7.503289699554443,0.62609,-0.46826115250587463,41,48,27,3,38,43,25,4,23,42,39,37,49,21,3,42,40,34,4,32,42,44,0.6270490288734436,-0.46673059463500977
2013,45,Vermont,1887,7.542743682861328,0.62621,-0.46806949377059937,49,NA,8,2,22,40,31,11,31,41,32,41,48,27,3,38,43,25,4,23,42,39,0.6260899901390076,-0.46826115250587463
2014,45,Vermont,1971,7.586296081542969,0.625214,-0.46966129541397095,50,NA,23,2,41,37,31,2,31,40,42,49,NA,8,2,22,40,31,11,31,41,32,0.6262099742889404,-0.46806949377059937
2015,45,Vermont,1917,7.558516979217529,0.625216,-0.4696580767631531,47,NA,33,2,42,28,42,3,48,41,42,50,NA,23,2,41,37,31,2,31,40,42,0.6252139806747437,-0.46966129541397095
2016,45,Vermont,2044,7.622663974761963,0.623657,-0.47215473651885986,47,41,26,3,43,30,30,7,49,40,36,47,NA,33,2,42,28,42,3,48,41,42,0.625216007232666,-0.4696580767631531
2017,45,Vermont,2006,7.603898048400879,0.624344,-0.4710537791252136,45,29,37,2,41,29,30,7,46,43,35,47,41,26,3,43,30,30,7,49,40,36,0.6236569881439209,-0.47215473651885986
2018,45,Vermont,2155,7.675546169281006,0.624358,-0.4710313677787781,46,32,29,1,35,25,33,10,49,40,32,45,29,37,2,41,29,30,7,46,43,35,0.624343991279602,-0.4710537791252136
2019,45,Vermont,2255,7.720905303955078,0.623989,-0.4716225266456604,50,24,44,2,36,27,34,15,45,40,40,46,32,29,1,35,25,33,10,49,40,32,0.6243579983711243,-0.4710313677787781
2021,45,Vermont,3917,8.27308177947998,0.647093,-0.4352652430534363,50,NA,33,1,38,26,31,5,49,40,42,50,24,44,2,36,27,34,15,45,40,40,NA,NA
2022,45,Vermont,4482,8.407824516296387,0.64711,-0.4352389872074127,50,22,33,1,39,37,14,8,45,41,31,50,NA,33,1,38,26,31,5,49,40,42,0.6470929980278015,-0.4352652430534363
2007,46,Virginia,24210,10.094521522521973,7.751,2.0478217601776123,8,22,3,11,12,14,4,11,12,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,46,Virginia,26152,10.17168140411377,7.833496,2.0584089756011963,8,13,17,28,11,14,2,11,13,27,2,8,22,3,11,12,14,4,11,12,35,1,7.750999927520752,2.0478217601776123
2009,46,Virginia,21063,9.955273628234863,7.925937,2.0701406002044678,8,10,7,18,26,12,2,7,18,27,1,8,13,17,28,11,14,2,11,13,27,2,7.83349609375,2.0584089756011963
2010,46,Virginia,23328,10.057409286499023,8.023699,2.082399606704712,9,12,11,18,26,10,2,13,9,27,2,8,10,7,18,26,12,2,7,18,27,1,7.925937175750732,2.0701406002044678
2011,46,Virginia,23838,10.079035758972168,8.101155,2.0920066833496094,12,10,8,26,21,11,2,6,10,24,1,9,12,11,18,26,10,2,13,9,27,2,8.023698806762695,2.082399606704712
2012,46,Virginia,24331,10.099506378173828,8.18508,2.1023130416870117,8,33,10,16,32,14,3,13,9,20,3,12,10,8,26,21,11,2,6,10,24,1,8.101155281066895,2.0920066833496094
2013,46,Virginia,19185,9.861884117126465,8.252427,2.1105072498321533,6,NA,10,18,38,12,6,8,13,20,5,8,33,10,16,32,14,3,13,9,20,3,8.185079574584961,2.1023130416870117
2014,46,Virginia,19374,9.871686935424805,8.310993,2.1175789833068848,10,NA,29,22,30,10,5,9,19,32,8,6,NA,10,18,38,12,6,8,13,20,5,8.252427101135254,2.1105072498321533
2015,46,Virginia,35502,10.477344512939453,8.361808,2.1236746311187744,6,NA,36,25,37,14,3,6,12,25,12,10,NA,29,22,30,10,5,9,19,32,8,8.310993194580078,2.1175789833068848
2016,46,Virginia,24430,10.103567123413086,8.410106,2.129434108734131,3,32,30,16,36,15,3,5,15,30,13,6,NA,36,25,37,14,3,6,12,25,12,8.361807823181152,2.1236746311187744
2017,46,Virginia,23447,10.062498092651367,8.463587,2.135773181915283,2,25,20,17,35,16,7,13,13,28,7,3,32,30,16,36,15,3,5,15,30,13,8.41010570526123,2.129434108734131
2018,46,Virginia,23816,10.078112602233887,8.501286,2.1402175426483154,3,20,13,19,34,15,5,6,13,33,4,2,25,20,17,35,16,7,13,13,28,7,8.463586807250977,2.135773181915283
2019,46,Virginia,31486,10.357297897338867,8.535519,2.1442360877990723,1,13,16,17,35,17,3,1,15,32,1,3,20,13,19,34,15,5,6,13,33,4,8.501285552978516,2.1402175426483154
2021,46,Virginia,34048,10.435526847839355,8.657348,2.1584084033966064,3,NA,13,11,26,16,11,2,9,32,1,1,13,16,17,35,17,3,1,15,32,1,NA,NA
2022,46,Virginia,37099,10.521345138549805,8.679099,2.1609177589416504,11,9,20,13,25,17,6,2,6,30,3,3,NA,13,11,26,16,11,2,9,32,1,8.657347679138184,2.1584084033966064
2007,47,Washington,25926,10.163002014160156,6.461587,1.865875005722046,37,13,30,10,36,7,35,16,6,36,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,47,Washington,25428,10.143606185913086,6.562231,1.8813306093215942,37,22,11,9,35,6,34,17,4,36,18,37,13,30,10,36,7,35,16,6,36,21,6.461586952209473,1.865875005722046
2009,47,Washington,28693,10.264408111572266,6.667426,1.8972338438034058,35,30,18,11,32,6,37,18,5,34,16,37,22,11,9,35,6,34,17,4,36,18,6.562231063842773,1.8813306093215942
2010,47,Washington,26328,10.178388595581055,6.74283,1.9084796905517578,30,35,18,8,33,5,34,22,5,35,15,35,30,18,11,32,6,37,18,5,34,16,6.667426109313965,1.8972338438034058
2011,47,Washington,23853,10.079665184020996,6.826627,1.9208307266235352,26,18,32,13,43,5,31,14,8,37,20,30,35,18,8,33,5,34,22,5,35,15,6.7428297996521,1.9084796905517578
2012,47,Washington,23053,10.045551300048828,6.897058,1.9310948848724365,21,36,45,15,37,5,36,13,3,36,21,26,18,32,13,43,5,31,14,8,37,20,6.826626777648926,1.9208307266235352
2013,47,Washington,21941,9.996111869812012,6.963985,1.9407519102096558,24,NA,24,10,44,4,23,28,7,36,21,21,36,45,15,37,5,36,13,3,36,21,6.897058010101318,1.9310948848724365
2014,47,Washington,20285,9.91763687133789,7.054655,1.9536876678466797,24,NA,2,6,34,4,23,25,9,38,7,24,NA,24,10,44,4,23,28,7,36,21,6.963984966278076,1.9407519102096558
2015,47,Washington,19184,9.8618316650390625,7.163657,1.9690206050872803,27,NA,11,7,28,1,24,18,10,36,8,24,NA,2,6,34,4,23,25,9,38,7,7.054655075073242,1.9536876678466797
2016,47,Washington,24138,10.09154224395752,7.294771,1.9871578216552734,11,39,6,8,30,1,30,24,10,37,6,27,NA,11,7,28,1,24,18,10,36,8,7.163657188415527,1.9690206050872803
2017,47,Washington,22766,10.033023834228516,7.423362,2.004631996154785,5,32,3,5,32,3,31,19,8,37,1,11,39,6,8,30,1,30,24,10,37,6,7.294771194458008,1.9871578216552734
2018,47,Washington,34815,10.457803726196289,7.523869,2.018080472946167,2,31,4,5,33,6,32,12,11,37,2,5,32,3,5,32,3,31,19,8,37,1,7.423361778259277,2.004631996154785
2019,47,Washington,22882,10.038105964660645,7.614893,2.0301058292388916,3,39,5,5,32,2,35,11,9,38,5,2,31,4,5,33,6,32,12,11,37,2,7.523869037628174,2.018080472946167
2021,47,Washington,34791,10.457114219665527,7.741433,2.046586751937866,7,NA,16,7,36,4,39,14,11,38,9,3,39,5,5,32,2,35,11,9,38,5,NA,NA
2022,47,Washington,35056,10.464701652526855,7.784477,2.0521316528320312,4,29,3,6,33,2,31,17,20,38,2,7,NA,16,7,36,4,39,14,11,38,9,7.741433143615723,2.046586751937866
